Symbol,Series,ClosePrice,TodayVolume,ValueTraded,2026-07-28
AMAGI,EQ,622.70,214772,134968551.00
ARE&M,EQ,861.85,272876,236935926.85
AMBALALSA,EQ,31.05,16133,506486.17
AMBER,EQ,7209.00,148823,1075165243.00
AMBICAAGAR,EQ,24.70,47,1156.28
AMBIKCO,EQ,1677.40,6007,10132321.70
AMBUJACEM,EQ,426.00,6241411,2666585820.65
AMDIND,EQ,47.19,10906,520133.00
AMNPLST,EQ,193.14,3223,627612.36
AEROPLANE,EQ,185.28,130148,24509143.86
AMJLAND,EQ,37.81,12767,487122.75
AMRUTANJAN,EQ,510.80,28424,14618773.55
ARSSBL,EQ,509.90,69636,35679758.80
ANANDRATHI,EQ,2037.90,117537,239030891.10
ANANTRAJ,EQ,609.95,1921603,1180225707.90
ACL,EQ,48.35,22588,1090887.07
ANDHRAPAP,EQ,62.89,255854,16087846.48
ANDHRSUGAR,EQ,83.69,183205,15512916.36
ANGELONE,EQ,302.60,3436258,1038018640.85
ANIKINDS,EQ,42.50,3604,153956.25
APCL,EQ,103.48,790,81741.66
AHCL,EQ,15.63,1891458,29625432.85
ANMOL,EQ,10.12,10559,106898.83
ANTGRAPHIC,EQ,0.75,576560,437463.28
ANTELOPUS,EQ,831.80,780018,695110120.75
ANTHEM,EQ,783.90,356656,279030282.45
AWHCL,EQ,432.45,32748,14250127.50
ANUHPHR,EQ,79.82,33789,2718021.57
ANURAS,EQ,1218.40,243276,296446119.40
AONEGOLD,EQ,13.21,321075,4244245.62
AONELIQUID,EQ,1070.06,13786,14752000.06
AONENIFTY,EQ,9.91,69567,689747.90
AONESILVER,EQ,8.28,378183,3139705.56
AONETMMQ50,EQ,9.91,183273,1814293.43
AONETOTAL,EQ,11.77,99400,1171824.52
APARINDS,EQ,13480.00,171453,2338823883.00
APCOTEXIND,EQ,591.10,311100,182204942.05
APEX,EQ,376.25,61447,23254264.80
APLAPOLLO,EQ,1846.70,340964,628065763.60
APOLLOHOSP,EQ,8903.00,167309,1487050053.00
APOLLO,EQ,378.75,8477634,3231753586.15
APOLLOPIPE,EQ,491.75,72575,36064126.50
APOLSINHOT,EQ,1205.50,941,1138945.00
APOLLOTYRE,EQ,423.85,206242,87309100.90
APTUS,EQ,281.30,326627,91491885.20
AQYLON,EQ,25.16,6440725,161159874.43
ACI,EQ,556.45,119450,67159332.85
ADL,EQ,70.21,186,13051.50
ARCHIDPLY,EQ,83.06,5697,471432.88
ARCHIES,EQ,13.88,2167,30104.93
ARFIN,EQ,89.14,755506,68171558.48
ARIES,EQ,340.10,7051,2404056.00
ARIHANTCAP,EQ,77.24,319971,24882376.44
ARIHANT,EQ,1088.40,1786,1930266.65
ARIHANTSUP,EQ,261.00,10011,2614503.60
ARIS,EQ,128.24,2542092,325559723.42
ARKADE,EQ,132.65,261423,34878116.27
ARMANFIN,EQ,1928.20,28650,55768338.70
AROGRANITE,EQ,25.45,3768,95975.42
ARTNIRMAN,EQ,39.42,69,2719.98
AEPL,EQ,14.50,19796,290699.27
ARTEMISMED,EQ,277.20,114832,31890519.20
ARVEE,EQ,159.84,460,73983.39
ARVINDFASN,EQ,456.00,308998,140356600.20
ARVIND,EQ,511.35,191791,98625691.55
ARVSMART,EQ,593.00,11638,6942844.35
ASAHIINDIA,EQ,870.60,47980,41819455.90
ASAHISONG,EQ,352.90,81750,28359741.60
ASHAPURMIN,EQ,681.40,290189,199011658.10
ASHIANA,EQ,385.85,48935,19021045.20
ASHIKAG,EQ,490.30,2057736,977295763.90
ASHIMASYN,EQ,17.52,132296,2381034.12
ASHOKLEY,EQ,157.50,14300744,2243490892.14
ASHOKA,EQ,122.73,283966,34892533.47
ASHOKAMET,EQ,14.11,9977,141548.56
ASIANENE,EQ,385.90,934943,363927010.70
ASIANTILES,EQ,57.62,96773700,5666726566.65
AHLEAST,EQ,142.05,3025,431788.15
ASIANHOTNR,EQ,315.05,15035,4727205.15
ASIANPAINT,EQ,2736.20,1282146,3503528051.90
ASKAUTOLTD,EQ,524.15,221321,114710751.20
ASPINWALL,EQ,243.13,851,207183.22
ASALCBR,EQ,757.70,90089,69516555.60
ASTEC,EQ,649.45,25178,16580038.55
ASTERDM,EQ,813.50,479202,387036527.80
ASTRAMICRO,EQ,1704.10,470220,817228274.10
ASTRAL,EQ,1471.40,356512,523018231.70
ASTRAZEN,EQ,8071.50,1773,14385975.50
ATALREAL,EQ,31.34,6780339,213455255.97
ATAM,EQ,65.70,4279,281549.38
ATHERENERG,EQ,1202.00,2067763,2500844778.30
ATLANTAELE,EQ,1533.60,118094,182913439.10
ATLANTAA,EQ,35.21,26622,940263.24
ATLASCYCLE,EQ,98.01,565,55069.84
ATULAUTO,EQ,475.90,52727,25304298.80
ATUL,EQ,6650.00,78328,528441354.00
AUBANK,EQ,1047.70,1569390,1648787128.40
AURIONPRO,EQ,735.40,1299788,972666335.35
AUROPHARMA,EQ,1549.20,499946,773929574.20
AURUM,EQ,222.82,602413,139876743.19
AURUS,EQ,4.85,21205,102356.09
AIIL,EQ,557.70,490434,274464155.35
AUTOAXLES,EQ,1799.10,3962,7128804.10
ASAL,EQ,497.20,21458,10678849.20
AVADHSUGAR,EQ,527.85,21130,11136436.40
AVALON,EQ,1640.00,274902,454487536.60
AVANTEL,EQ,159.92,702712,113284530.92
AVANTIFEED,EQ,958.05,172168,166353537.75
DMART,EQ,3846.60,2412848,9287136547.10
CCAVENUE,EQ,16.55,4194207,69507664.36
AVONMORE,EQ,9.15,91849,838591.36
AVROIND,EQ,8.95,98761,878138.74
AVTNPL,EQ,70.55,26747,1892045.91
AWFIS,EQ,281.85,154335,43716290.25
AWL,EQ,186.17,907838,169455168.93
AXISBANK,EQ,1223.50,6093182,7470475266.50
BNKETFAXIS,EQ,585.75,153,89733.52
CONSUMAXIS,EQ,122.51,3789,464798.65
GOLDAXIS,EQ,117.63,2855494,335936397.32
HEALTHAXIS,EQ,167.67,7431,1246579.35
ITAXIS,EQ,335.15,24511,8209799.69
NIFTYAXIS,EQ,265.85,6966,1852344.40
SENSEXAXIS,EQ,79.37,961,76723.37
SILVERAXIS,EQ,214.56,248545,53540590.87
VALUEAXIS,EQ,32.46,87110,2834842.62
AXISCADES,EQ,1491.20,177207,264772288.80
AXITA,EQ,7.39,201496,1490328.59
AYE,EQ,162.92,388983,63758168.31
AYMSYNTEX,EQ,240.64,33019,7913737.29
